Time(s),P_Fuel_Tank(bar),P_Chamber(bar),P_Fuel_Injector_Warm(bar),P_Fuel_Injector_Cold(bar),P_Ox_Injector(bar),Fuel_Flow_Rate(L/s),Ox_Valve_Angle(deg),Fuel_Valve_Angle(deg),P_Ox_Tank(bar),P_N2_Tank(bar),Engine_Temperature(K),Tank_Mass(kg),Thrust(N)
5375.969539403915,30.81714630126953,15.523463249206545,22.89891242980957,23.098777770996094,30.93797874450684,0.1646749824285507,180.0,150.0,32.89366610669495,195.2082148404325,,1.540848453071751,-223.56101667714603
5375.980696678162,30.806087791969727,15.48513717550379,22.878914703891756,23.064213995625664,30.93429187147404,0.16459022786339222,180.0,150.0,32.890132904052734,195.1128387451172,12.9765625,1.458126187324524,-224.24708557128903
5375.989712715149,30.79715156555176,15.454166412353516,22.862754821777344,23.036283493041992,30.93131256103516,0.1645217388868332,180.0,150.0,32.86537768605687,195.00122526361793,,1.4614732273431381,-222.8212099197644
5375.998373270035,30.784387834492314,15.398925574578298,22.81802887939342,22.99158143360846,30.9132766686767,0.16772794501171062,180.0,150.0,32.84159851074219,194.89401245117188,12.9765625,1.4646883010864258,-221.45155334472656
5376.009078979492,30.76861000061035,15.330639839172363,22.762741088867188,22.936323165893555,30.890981674194336,0.171691283583641,180.0,150.0,32.838226013448306,194.78624411067986,,1.4777255035817205,-222.79460103109824
5376.018850326538,30.75500734955231,15.329216456522294,22.77833051789175,22.94188718032913,30.88433922182735,0.1684288253598809,180.0,150.0,32.835147857666016,194.68788146972656,13.0,1.4896248579025269,-224.0204315185547
5376.030663967133,30.738561630249023,15.327495574951172,22.797178268432617,22.9486141204834,30.87630844116211,0.1644844859838485,180.0,150.0,32.823266720653855,194.56178799837164,,1.5103004688259782,-223.2852715840496
5376.044347047806,30.746735036910643,15.28922272066879,22.78019909285167,22.921590592427187,30.870262410678485,0.16453395736064713,180.0,150.0,32.809505462646484,194.41574096679688,13.0,1.534247875213623,-222.43377685546875
5376.051629781723,30.75108528137207,15.26885223388672,22.77116203308105,22.907207489013672,30.86704444885254,0.1645602881908416,180.0,150.0,32.80617257366851,194.39189215976978,,1.50346807498362,-221.17239816721892
5376.062668561935,30.738277536203935,15.215821809882218,22.722815038279823,22.874353262411947,30.855198357410856,0.16887990463678676,180.0,150.0,32.80112075805664,194.35574340820312,13.0,1.4568136930465698,-219.26046752929688
5376.073217630386,30.726037979125977,15.165143966674805,22.676612854003903,22.84295654296875,30.8438777923584,0.1730078905820846,180.0,150.0,32.81636649412483,194.3424128316352,,1.4667508741470123,-221.02066352047947
5376.080780982971,30.726731685047437,15.158658935189656,22.671736026783993,22.84117677702401,30.840079565958312,0.17066244895021276,180.0,150.0,32.82729721069336,194.33285522460935,13.0,1.4738755226135254,-222.2826690673828
5376.092557430267,30.72781181335449,15.148561477661133,22.664142608642575,22.83840560913086,30.83416557312012,0.1670105010271072,180.0,150.0,32.78874788641812,194.26807227987507,,1.440772297004333,-221.57838985533357
5376.102258443832,30.72811763137466,15.162289359054633,22.628147465753955,22.83119807555494,30.832228424063373,0.16593339446559655,180.0,150.0,32.75699234008789,194.21470642089844,12.9765625,1.4135030508041382,-220.99822998046875
5376.11300778389,30.728456497192383,15.17750072479248,22.5882625579834,22.823211669921875,30.830081939697266,0.1647398918867111,180.0,150.0,32.71958044587117,194.22920781056547,,1.436776222214598,-218.61171556669865
5376.121656417847,30.71110694431909,15.18194019316978,22.60273756979461,22.815344933768035,30.8225121640059,0.19426304127974836,180.0,150.0,32.68947982788086,194.24087524414065,12.9765625,1.4555011987686155,-216.69158935546875
5376.131227970123,30.6919059753418,15.186853408813477,22.618757247924805,22.806638717651367,30.81413459777832,0.2269366830587387,180.0,150.0,32.71159086924245,194.28802484771802,,1.5074941822015977,-216.5871826453408
5376.1424350738525,30.663218517295178,15.134187814143884,22.594636404592023,22.767529286306246,30.789986479442984,0.2384936434893129,180.0,150.0,32.73748016357422,194.34323120117188,12.9765625,1.5683715343475342,-216.4649353027344
5376.153172016144,30.63573455810547,15.083731651306152,22.5715274810791,22.730060577392575,30.7668514251709,0.24956576526165,180.0,150.0,32.72603186873796,194.3917842212233,,1.5367621145043202,-217.10717833792938
5376.165171146393,30.626435993995337,15.022325821166719,22.55516120963427,22.713467332295608,30.74710892065048,0.25407960033007515,180.0,150.0,32.71323776245117,194.446044921875,12.9765625,1.5014368295669556,-217.82492065429688
5376.174952030182,30.61885643005371,14.972271919250488,22.541820526123047,22.69994163513184,30.731016159057617,0.2577589750289917,180.0,150.0,32.68984944017145,194.51416990425406,,1.4428969571799346,-216.46256581484096
5376.185783863068,30.637285235276604,14.975073859669417,22.536854520185756,22.722642917876644,30.728130738366467,0.22558936214999437,180.0,150.0,32.66394805908203,194.5896148681641,12.9765625,1.3780670166015625,-214.95382690429688
5376.194255828857,30.65169906616211,14.977265357971191,22.5329704284668,22.740398406982425,30.725873947143555,0.2004283517599105,180.0,150.0,32.66234983492913,194.6315749442492,,1.3878183490162133,-216.91861282063968
5376.206308364868,30.644925996909173,14.988099344622949,22.519056029449736,22.714517825846197,30.71978805383209,0.19390400684416714,180.0,150.0,32.66007614135742,194.69126892089844,12.9765625,1.40169095993042,-219.7137908935547
5376.21941280365,30.637561798095703,14.999878883361816,22.50392723083496,22.686378479003903,30.713171005249023,0.1868102401494979,180.0,150.0,32.64071516841546,194.81878189818573,,1.4333114866584102,-217.84905818597238
5376.228608846664,30.647724894042145,15.00365180690266,22.505864268643005,22.686901342388012,30.690696675564975,0.17600550653735697,180.0,150.0,32.62712860107422,194.90826416015625,13.109375,1.4555011987686155,-216.5404815673828
5376.23736000061,30.65739631652832,15.007242202758787,22.507707595825195,22.68739891052246,30.669309616088867,0.1657234877347946,180.0,150.0,32.58464347609139,194.8688116858687,,1.4633326099038977,-216.36708118421024
