Time(s),P_Fuel_Tank(bar),P_Chamber(bar),P_Fuel_Injector(bar),P_Ox_Injector(bar),Fuel_Flow_Rate(L/s),Ox_Valve_Angle(deg),Fuel_Valve_Angle(deg),P_Ox_Tank(bar),P_N2_Tank(bar),T_Fuel_Post_Channels(C),T_Fuel_Pre_Channels(C),Ox_Mass(kg),Thrust(N)
9.278368408203278,30.560272216796875,10.90621280670166,12.333333969116213,17.021255493164062,0.6883196234703064,127.64287344790345,121.70239453991955,34.3990364074707,230.3589782714844,48.28125,24.7421875,1.5109374253392582,-1906.699462890625
9.302948730468415,30.506258010864254,11.10007095336914,12.72859001159668,17.39867401123047,0.536766767501831,128.4152362178124,122.27682414520828,34.30902099609375,230.62619018554688,48.5625,24.7421875,1.6377953578937308,-1952.56396484375
9.318658203124869,30.6064567565918,11.29305648803711,12.831050872802734,17.57096290588379,0.6028709411621094,128.79884027327898,122.53256018218599,34.373435974121094,230.24029541015625,48.5625,24.7421875,1.5836321007342635,-1999.6068115234373
9.337913818359084,30.58456420898437,11.347838401794434,12.86157512664795,17.9107723236084,0.6028709411621094,129.26903632989018,122.84602421992679,34.23081588745117,230.2935333251953,48.5625,24.7421875,1.7347205547989932,-2005.027587890625
9.36297705078141,30.678815841674805,11.554070472717283,13.109342575073242,18.23655128479004,0.6017104387283325,129.88104653612123,123.25403102408082,34.20753479003906,230.6599578857422,48.5625,24.7421875,1.2287167112640163,-2135.974853515625
9.38281494140665,30.78622436523437,11.897283554077148,13.27377700805664,18.54550552368164,0.5998733639717102,130.36546096951247,123.57697397967497,34.06123352050781,230.3497467041016,48.5625,24.7421875,1.6491982307395194,-2107.22119140625
9.406243164062289,30.72096443176269,12.03152561187744,13.408839225769045,18.84913825988769,0.6620726585388184,130.93754645067187,123.95836430044791,34.05173873901367,230.25506591796875,49.0078125,24.7421875,1.6606011035853083,-2174.014404296875
9.425562011719194,30.63262367248535,12.228996276855469,13.622854232788086,19.020238876342773,0.6620726585388184,130.8691215354495,123.86912153544951,33.98130416870117,230.07955932617188,49.0078125,24.7421875,1.6206918263411059,-2204.983642578125
9.445763427734164,30.76890182495117,12.336746215820312,13.764007568359377,19.144933700561523,0.5643318891525269,130.71138071118244,123.71138071118246,33.96231460571289,230.37445068359372,49.0078125,24.703125,1.7689291733363595,-2237.69677734375
9.467540771483982,30.657066345214844,12.380690574645996,13.738056182861328,19.239490509033203,0.5440701842308044,130.5413344059722,123.54133440597221,33.854915618896484,229.99533081054688,49.0078125,24.703125,1.7903085877771405,-2218.229248046875
9.488323242187107,30.744829177856445,12.492087364196776,13.820465087890623,19.28484916687012,0.5482340455055237,130.37905647176794,123.37905647176792,33.774269104003906,230.1807098388672,49.6953125,24.703125,1.4068867939084797,-2225.58251953125
9.508963867187049,30.639015197753903,12.48051643371582,13.742837905883787,19.300031661987305,0.6605464220046997,130.21788612616598,123.21788612616596,33.86945343017578,230.36932373046875,49.6953125,24.703125,1.439670636627166,-2249.386962890625
9.528278320312893,30.32746124267578,12.49213981628418,13.751267433166504,19.28212547302246,0.5047919154167175,130.06707106677368,123.06707106677368,33.95163345336914,229.99847412109372,49.6953125,24.7109375,1.5080878737018986,-2242.740478515625
9.551346923828532,30.65333747863769,12.54076099395752,13.754112243652344,19.26683807373047,0.652245283126831,130.0,123.0,34.04914093017578,229.8803253173828,49.6953125,24.7109375,1.5251914052545235,-2241.609130859375
9.56939916992178,30.601057052612305,12.439905166625977,13.772768020629885,19.28291130065918,0.5499271154403687,130.0,123.0,34.035369873046875,229.9568634033203,50.765625,24.7734375,1.2386932528590087,-2238.356689453125
9.59222534179662,30.597074508666992,12.445874214172363,13.728352546691896,19.30966567993164,0.5526558756828308,130.0,123.0,34.09772491455078,229.8081970214844,50.765625,24.7734375,1.31566381114217,-2236.98974609375
9.616022460937529,30.664527893066406,12.47775936126709,13.77041244506836,19.267990112304688,0.6751041412353516,130.0,123.0,34.137306213378906,229.62794494628903,52.0234375,24.7734375,1.5622511308613658,-2262.1611328125
9.634755126952768,30.849084854125977,12.479452133178713,13.721161842346191,19.23764038085937,0.5838808417320251,130.0,123.0,34.08870315551758,229.85455322265625,52.0234375,24.7734375,1.636370582075051,-2211.064208984375
9.655003662109266,30.69997787475586,12.406519889831545,13.758719444274902,19.25867080688477,0.4929712116718292,130.0,123.0,34.12839126586914,230.10708618164065,52.0234375,24.640625,1.4581989439984708,-2202.4853515625
9.676547119140196,30.78549194335937,12.366205215454102,13.645489692687988,19.189577102661133,0.525206446647644,130.0,123.0,34.10980224609375,229.7756500244141,52.0234375,24.640625,1.2985587241574286,-2240.902099609375
9.694953857421751,30.71442985534668,12.417811393737791,13.59716510772705,19.246681213378903,0.6206912398338318,130.0,123.0,34.1295051574707,229.61599731445312,53.703125,24.640625,1.590759090691896,-2199.04443359375
9.716765136719005,30.659564971923828,12.452436447143556,13.684372901916504,19.211584091186523,0.6570123434066772,130.0,123.0,34.12160110473633,229.6285400390625,53.703125,24.640625,1.412587452615316,-2247.50146484375
9.73657495117186,30.337987899780277,12.397619247436523,13.687026023864746,19.19271850585937,0.5392070412635803,130.0,123.0,34.06996154785156,229.78179931640625,53.703125,24.6875,1.3527235367490125,-2236.09423828125
9.756180419922202,30.58457565307617,12.36536693572998,13.61000919342041,19.215633392333984,0.5024144649505615,130.0,123.0,34.114585876464844,229.4037322998047,53.703125,24.6875,1.3213644698490061,-2192.3037109375
9.779139404296984,30.57499885559082,12.399800300598145,13.658002853393556,19.196138381958008,0.8754408955574036,130.0,123.0,34.038352966308594,229.2135162353516,53.703125,24.6875,1.2486713498861175,-2220.7275390625
9.800133544921664,30.50909423828125,12.41240119934082,13.689783096313477,19.12320709228516,0.5511338710784912,130.0,123.05861833904643,34.035667419433594,229.61984252929688,55.7265625,24.6875,1.4083115697271598,-2215.165283203125
9.81958325195319,30.552202224731445,12.294476509094238,13.598421096801758,19.104707717895508,0.5511338710784912,130.0,123.21377960423808,34.101409912109375,229.5623321533203,55.7265625,24.703125,1.2500961257047973,-2227.185302734375
9.839008056640523,30.582284927368164,12.293045997619627,13.58957290649414,19.1710262298584,0.5269912481307983,130.0,123.36874220941102,34.04222869873047,229.23794555664065,55.7265625,24.703125,1.3869321552863787,-2234.585693359375
9.859911621093488,30.644371032714844,12.32388401031494,13.5641450881958,19.065509796142575,0.5223580598831177,130.0,123.53550171392958,33.99858093261719,229.1117248535156,55.7265625,24.703125,1.5337431710308358,-2201.636962890625
9.879351806640443,30.41033744812012,12.28941535949707,13.654041290283203,19.13053703308105,0.6047167181968689,130.0,123.69058702087878,34.03854751586914,229.24386596679688,57.9140625,24.703125,1.2714770955776948,-2204.087890625
9.903497314453489,30.56049156188965,12.323307991027832,13.634198188781738,19.10243797302246,0.6778323650360107,130.0,123.88320933312558,34.06901931762695,229.01614379882807,57.9140625,24.703125,1.3284914598066386,-2211.53564453125
9.926054931640465,30.61212730407715,12.332592010498049,13.538735389709473,19.071128845214844,0.5468074083328247,130.0,124.0,33.97317123413086,229.23927307128903,57.9140625,24.75,1.2486713498861175,-2190.5595703125
9.944354248046693,30.51473426818848,12.295907974243164,13.494877815246582,19.04041290283203,0.5223818421363831,130.0,124.0,33.977237701416016,229.07752990722656,57.9140625,24.75,1.1816788886300649,-2191.738037109375
9.96252563476537,30.59040069580078,12.253185272216797,13.48459815979004,19.11189842224121,0.6692893505096436,130.0,124.0,34.014339447021484,229.47100830078125,60.2265625,24.75,0.9407922276177051,-2225.158447265625
9.983345703125451,30.68407440185547,12.301824569702148,13.477495193481444,19.07798767089844,0.5280728340148926,130.0,124.0,33.96968078613281,228.9024658203125,60.2265625,24.75,1.07477715012981,-2197.39453125
10.007208496093881,30.59145736694336,12.324058532714844,13.566100120544434,19.070466995239254,0.5691467523574829,130.0,124.0,33.956172943115234,228.8872528076172,60.2265625,24.75,1.2287167112640163,-2201.636962890625
10.025407958984033,30.471376419067383,12.282696723937988,13.505698204040527,19.055126190185547,0.5516886115074158,130.0,124.0,33.956661224365234,228.9236297607422,60.2265625,24.75,1.5508482580155771,-2182.640625
10.049203124999622,30.498350143432617,12.248944282531738,13.553778648376465,19.02491569519043,0.5332320332527161,130.0,124.0,33.91543960571289,229.03128051757807,62.2734375,24.75,1.0419933074111238,-2207.15185546875
10.067856201171708,30.516271591186523,12.254005432128906,13.508402824401855,19.01770782470703,0.5332320332527161,130.0,124.0,34.023921966552734,228.77085876464844,62.2734375,24.75,1.270052319759015,-2210.2158203125
10.087621826171926,30.576536178588867,12.30817699432373,13.511282920837402,19.022071838378903,0.6731445789337158,130.0,124.0,33.89437484741211,228.6817779541016,62.2734375,24.640625,1.1146864273740125,-2195.414794921875
10.10857983398455,30.56031608581543,12.26274871826172,13.446099281311035,18.97943687438965,0.6907241344451904,130.0,124.0,33.95891189575195,228.77810668945312,62.2734375,24.640625,1.3142374798913736,-2221.387451171875
10.131642089843808,30.78537368774414,12.316413879394531,13.498403549194336,18.99214172363281,0.6251771450042725,130.0,124.0,34.02159881591797,228.9130706787109,64.0859375,24.640625,1.2957076170879522,-2165.19970703125
10.14965673828101,30.511505126953125,12.28168487548828,13.552016258239746,19.015003204345703,0.5731571912765503,130.0,124.0,33.88405990600586,228.61866760253903,64.0859375,24.640625,1.0491202973687563,-2189.6640625
10.174299560547297,30.467941284179688,12.30636215209961,13.469676971435549,18.990745544433597,0.7799978852272034,130.0,124.0,33.88435745239258,228.93687438964844,64.0859375,24.6796875,1.2130364000979548,-2182.1220703125
10.19482324218734,30.494991302490234,12.315488815307615,13.525995254516602,19.01125144958496,0.5097887516021729,130.0,124.0,33.82749557495117,228.4964599609375,64.0859375,24.6796875,1.4296925396000573,-2196.923095703125
10.216589355468386,30.659608840942383,12.290550231933594,13.53051471710205,19.04915809631348,0.530494749546051,130.0,124.0,33.78999328613281,228.5675048828125,65.8125,24.6796875,1.261498998550586,-2202.06103515625
10.23516967773412,30.425094604492188,12.247321128845217,13.532469749450684,18.98540496826172,0.4676711559295654,130.0,124.0,33.91836929321289,228.9179229736328,65.8125,24.6796875,1.0947317887519112,-2187.071533203125
10.255696289062143,30.579853057861328,12.209083557128906,13.532644271850586,19.06362533569336,0.5466888546943665,130.0,124.0,33.90311813354492,228.45053100585935,65.8125,24.6875,0.9807030602940239,-2204.370849609375
10.278449951171751,30.551393508911133,12.264808654785156,13.44669246673584,19.07339859008789,0.4702079892158508,130.0,124.0,33.900447845458984,228.4933624267578,65.8125,24.6875,1.0876047987942787,-2223.2255859375
10.299943603515203,30.604623794555664,12.247809410095217,13.48461627960205,19.027341842651367,0.6981775164604187,130.0,124.0,33.795997619628906,228.45425415039065,67.2890625,24.6875,1.2315662629013762,-2201.306884765625
10.321850830077892,30.597980499267575,12.275907516479492,13.502277374267578,18.98814392089844,0.6446031332015991,130.0,124.0,33.86412811279297,228.7292022705078,67.2890625,24.6875,0.8909048533463939,-2177.73828125
10.339466796875058,30.47361183166504,12.242120742797852,13.517687797546388,18.98207092285156,0.5739660263061523,130.0,124.0,33.847164154052734,228.6228790283203,68.59375,24.6875,1.22444082837586,-2204.84228515625
10.366684814453038,30.381607055664062,12.222015380859377,13.511823654174805,19.0002384185791,0.5739660263061523,130.0,124.0,33.81917190551758,228.2759246826172,68.59375,24.6875,1.22444082837586,-2188.626953125
10.38128515624976,30.28228187561035,12.23646640777588,13.420654296875,18.98324012756348,0.5326688289642334,130.0,124.0,33.74915313720703,228.24371337890625,68.59375,24.75,1.1260893002198011,-2183.724853515625
10.403589599609404,30.632022857666016,12.177023887634276,13.39283561706543,19.00352096557617,0.6155245900154114,130.0,124.0,33.79658889770508,228.1470489501953,68.59375,24.75,0.9849789431821802,-2183.300537109375
10.424835693359455,30.730148315429688,12.217670440673828,13.476640701293944,19.011512756347656,0.5281391739845276,130.0,124.0,33.809574127197266,228.2836151123047,68.59375,24.75,1.1332162901774336,-2211.677001953125
10.444623291015887,30.3652458190918,12.30034065246582,13.486221313476562,18.947568893432617,0.4981563091278076,130.0,124.0,33.686954498291016,228.66598510742188,69.71875,24.75,1.0576720631450687,-2173.6845703125
10.462004394531505,30.458778381347656,12.2830810546875,13.48967742919922,18.96966361999512,0.6964502334594727,130.0,124.0,33.81494903564453,228.3219146728516,69.71875,24.6640625,0.8937559604158702,-2163.361572265625
10.484383544921911,30.582557678222656,12.22793197631836,13.48531436920166,18.98948860168457,0.5991939306259155,130.0,124.0,33.83751678466797,228.13088989257807,69.71875,24.6640625,0.8638232247666603,-2199.892822265625
10.505698730468794,30.568334579467773,12.202190399169922,13.472765922546388,18.916120529174805,0.6218137145042419,130.0,124.0,33.78409576416016,228.1488037109375,69.71875,24.6640625,1.1545972600503311,-2174.250244140625
10.525795654297326,30.62989616394043,12.244196891784668,13.394929885864258,18.968807220458984,0.5237664580345154,130.0,124.0,33.69196319580078,228.1863555908203,70.7109375,24.6640625,1.0305904345653352,-2189.711181640625
10.546733154296817,30.61953353881836,12.18742561340332,13.437355995178224,18.932350158691406,0.5978395342826843,130.0,124.0,33.75453186035156,228.2496337890625,70.7109375,24.6796875,0.9479192175753376,-2201.024169921875
10.56750805664069,30.68359375,12.22009563446045,13.464632987976074,19.02753448486328,0.5978395342826843,130.0,124.0,33.751930236816406,227.93467712402344,70.7109375,24.6796875,1.0391422003416475,-2166.849609375
10.586649658202987,30.65592193603516,12.267827033996582,13.545943260192873,18.991548538208008,0.6751751899719238,130.0,124.0,33.7579345703125,228.10618591308597,70.7109375,24.6796875,0.9293893547719163,-2156.57373046875
10.61383105468758,30.42116928100586,12.274633407592772,13.47021770477295,18.94718360900879,0.566996693611145,130.0,124.0,33.73489761352539,228.4425201416016,71.4140625,24.6796875,0.9450681105058614,-2202.862548828125
10.627999755859491,30.53001594543457,12.234546661376951,13.472801208496094,18.92861557006836,0.6036646962165833,130.0,124.0,33.615577697753906,228.175537109375,71.4140625,24.6796875,0.809659189891136,-2208.424560546875
10.651648193359506,30.574169158935547,12.258892059326172,13.459816932678224,18.93512535095215,0.4902534484863281,130.0,124.0,33.75709533691406,228.1544647216797,71.4140625,24.6796875,0.9693001874482352,-2155.395263671875
