Time(s),P_Fuel_Tank(bar),P_Chamber(bar),P_Fuel_Injector(bar),P_Ox_Tank(bar),W_Tank(N),Thrust(N),Fuel_Flow_Rate(L/s)
0.8510139999998501,45.579089,1.032182,1.0045579999999998,46.701313,-254.081726,2.68682,0.076243
0.8568530000011378,45.562053,1.069998,1.019602,46.675678,-253.550385,1.9326250000000003,0.038202
0.8620190000001458,45.562389,1.0282879999999999,1.0201959999999999,46.729393,-252.921158,1.979762,0.038202
0.8671000000013009,45.596301000000004,1.0312569999999999,1.002796,46.752972,-253.858002,-0.047137000000000207,0.038202
0.8730140000006941,45.508636,1.032279,0.9658669999999999,46.713443999999996,-254.193588,-0.4242349999999995,0.038202
0.8790420000004815,45.565913,1.1250909999999998,0.9940699999999999,46.690056,-253.214798,1.602665,0.0
0.8850149999998393,45.604526,1.034031,0.94194,46.764527,-253.158859,2.1211740000000003,0.0
0.8910180000002583,45.580989,1.030819,0.9991129999999999,46.687492999999996,-253.969864,1.17843,0.0
0.8978210000004765,45.541217,1.030624,1.003668,46.731086999999995,-253.494461,1.2255670000000003,0.0
0.9030149999998685,45.607047,1.0495079999999999,0.996984,46.782433,-253.214798,-0.047137000000000207,0.0
0.9091040000002977,45.588786,1.022691,0.989811,46.664665,-253.592331,1.2255670000000003,0.0
0.9150170000011713,45.551189,1.065861,1.035606,46.730408,-253.410553,2.0268990000000002,0.0
0.9200400000008813,45.533912,1.076324,1.0194969999999999,46.743511,-252.837265,1.2255670000000003,0.0
0.9260000000012951,45.597152,1.0312569999999999,1.017787,46.694770999999996,-253.200821,0.9427440000000002,0.0
0.9310150000001158,45.563075,1.023324,0.972918,46.720284,-253.871994,1.6498020000000002,0.0
0.9370140000009997,45.551208,1.0282879999999999,0.991923,46.774349,-253.256744,-0.23568600000000028,0.0
0.9421800000000076,45.562019,1.031598,1.0037379999999998,46.686862999999995,-252.991074,-0.8013319999999995,0.0
0.9480149999999412,45.588512,1.073064,0.9549249999999999,46.647473,-253.690216,0.8013319999999999,0.0
0.953138000000763,45.544109,1.031598,1.0021499999999999,46.649322999999995,-253.830048,0.047137000000000207,0.0
0.9590000000007421,45.556773,1.164464,1.012325,46.694386,-253.564362,1.414116,0.0
0.9640570000010484,45.605693,1.060556,1.0177,46.563057,-253.03302,1.5083900000000003,0.0
0.9700140000004467,45.600829000000004,1.0313539999999999,1.014733,46.63187,-253.871994,0.9427440000000002,0.0
0.9760000000005675,45.563621,1.0316459999999998,1.0058669999999998,46.693267999999996,-253.340637,-0.2828229999999996,0.0
0.9819079999997484,45.562969,1.033447,1.005588,46.664035999999996,-252.851242,0.23568600000000028,0.0
0.9870370000007824,45.599605000000004,1.067467,1.016548,46.725556,-252.977097,0.8484700000000003,0.0
0.9930000000003929,45.549136000000004,1.1390099999999999,0.994436,46.751121999999995,-254.081726,3.01678,0.0
0.9980439999999362,45.549201000000004,1.036805,0.982115,46.768437,-253.564362,1.17843,0.0
1.0040160000007745,45.598373,1.09477,0.98859,46.749378,-253.130905,-0.2828229999999996,0.0
1.0100000000002183,45.597568,0.989158,1.02037,46.704979,-253.899963,0.6599210000000002,0.0
1.015015000000858,45.553161,1.030527,1.020789,46.750789999999995,-253.899963,0.23568600000000028,0.0
