Time(s),P_N2_Tank(bar),P_Ox_Tank(bar),P_Fuel_Tank(bar),T_Ox_Tank(C)
72.97183574199677,1.562515,1.009031,1.236437,-4.59375
72.97875474214554,1.624436,1.015392,1.237368,-4.59375
72.98575474214555,1.593744,1.00706,1.233928,-4.59375
72.99275474214554,1.548055,1.005896,1.245216,-4.59375
72.99975474214554,1.570685,0.99966,1.246022,-4.59375
73.00675474214553,1.614116,1.015177,1.246882,-4.59375
73.01383574199677,1.583263,1.021322,1.245879,-4.59375
73.02075474214554,1.553861,1.012758,1.235971,-4.59375
73.02775474214553,1.574232,1.002491,1.235863,-4.59375
73.03475474214554,1.616374,1.016968,1.238676,-4.59375
73.04175474214554,1.616858,1.01919,1.241203,-4.59375
73.04875474214553,1.585198,1.007329,1.246685,-4.59375
73.05583574199676,1.582403,1.018348,1.242976,-4.59375
73.06275474214554,1.602452,1.010841,1.25009,-4.59375
73.06975474214553,1.609064,1.012041,1.238927,-4.59375
73.07675474214554,1.56273,1.016341,1.242403,-4.59375
73.08375474214554,1.574394,1.016395,1.246452,-4.59375
73.09075474214553,1.64454,1.019137,1.243693,-4.59375
73.09783574199676,1.633628,1.017757,1.245861,-4.59375
73.10475474214554,1.553914,1.01928,1.245521,-4.59375
73.11175474214554,1.58466,1.015159,1.245592,-4.59375
73.11875474214554,1.591917,1.017255,1.24742,-4.59375
73.12575474214553,1.576866,1.018868,1.24398,-4.59375
73.13275474214554,1.558859,1.019334,1.241812,-4.59375
73.13983574199676,1.554936,1.027414,1.242421,-4.640625
73.14675474214553,1.591971,1.033954,1.24183,-4.640625
73.15375474214554,1.599066,1.022863,1.235863,-4.640625
73.16075474214554,1.575361,1.024315,1.244374,-4.640625
73.16775474214553,1.584553,1.017184,1.238443,-4.640625
73.17475474214554,1.594389,1.018939,1.235183,-4.640625
73.18183574199676,1.61417,1.01188,1.242779,-4.640625
73.18875474214553,1.574985,1.007974,1.237386,-4.640625
73.19575474214554,1.557731,1.005197,1.234036,-4.640625
73.20275474214554,1.592938,1.006648,1.234537,-4.640625
73.20975474214553,1.595034,1.003746,1.234806,-4.640625
73.21675474214554,1.550743,1.001381,1.222569,-4.640625
73.22383574199677,1.563106,1.000807,1.219344,-4.640625
73.23075474214554,1.587724,0.99588,1.218197,-4.640625
73.23775474214554,1.632231,1.006666,1.230399,-4.640625
73.24475474214555,1.579339,0.991723,1.232943,-4.640625
73.25175474214554,1.558913,0.994984,1.231689,-4.640625
73.25875474214554,1.590627,1.003835,1.232764,-4.640625
73.26583574199677,1.614923,0.998639,1.231975,-4.632812
73.27275474214554,1.575953,0.995145,1.231671,-4.632812
73.27975474214554,1.570524,1.00276,1.227908,-4.632812
73.28675474214553,1.60987,1.003351,1.235272,-4.632812
73.29375474214554,1.622878,1.013349,1.228517,-4.632812
73.30075474214554,1.5838,1.007042,1.231312,-4.632812
73.30783574199677,1.56445,0.999015,1.24036,-4.632812
73.31475474214554,1.570094,0.999195,1.235774,-4.632812
73.32175474214554,1.627984,1.005448,1.230506,-4.632812
73.32875474214553,1.56961,1.005358,1.239823,-4.632812
73.33575474214554,1.582349,1.002581,1.238157,-4.632812
73.34275474214554,1.580629,1.000126,1.240128,-4.632812
73.34983574199677,1.605677,0.995522,1.230363,-4.671875
73.35675474214554,1.561977,0.987316,1.230255,-4.671875
73.36286174201965,1.560096,0.990576,1.226905,-4.671875
73.36975474214555,1.605516,1.002384,1.236992,-4.671875
73.37675474214554,1.618094,0.998066,1.226242,-4.671875
73.38375474214554,1.586434,1.001595,1.228714,-4.671875
73.39075474214553,1.558214,0.9988,1.223805,-4.671875
73.39775474214554,1.573319,1.002796,1.232567,-4.671875
73.40475474214554,1.618793,1.008906,1.231277,-4.671875
73.41175474214553,1.569986,1.005896,1.237673,-4.671875
73.41875474214554,1.556226,1.003065,1.232083,-4.671875
73.42575474214554,1.558161,1.011558,1.237207,-4.671875
73.43275474214553,1.597238,1.006989,1.240002,-4.671875
73.43975474214554,1.561547,1.021269,1.250663,-4.671875
73.44675474214554,1.545422,1.01962,1.254318,-4.671875
73.45375474214553,1.551334,1.008189,1.25215,-4.671875
73.46075474214554,1.601915,1.005215,1.243998,-4.671875
73.46775474214554,1.556333,0.997654,1.236222,-4.671875
73.47475474214554,1.548539,1.001381,1.236329,-4.671875
73.48175474214554,1.570954,1.018079,1.24303,-4.671875
73.48875474214555,1.604656,1.004534,1.244894,-4.671875
73.49575474214554,1.563052,1.013833,1.247097,-4.671875
73.50275474214554,1.53752,1.003101,1.241543,-4.671875
73.50975474214553,1.549399,1.005967,1.235111,-4.671875
73.51675474214554,1.587617,1.003405,1.23753,-4.671875
73.52375474214554,1.584123,1.006648,1.23787,-4.671875
73.53075474214553,1.572835,1.009712,1.242815,-4.671875
73.53775474214554,1.553377,1.008995,1.249337,-4.671875
73.54475474214554,1.622716,1.008547,1.253781,-4.671875
73.55175474214553,1.581435,1.010644,1.251953,-4.671875
73.55875474214554,1.556871,1.010769,1.240468,-4.671875
73.56575474214554,1.566224,1.011593,1.235863,-4.65625
73.57275474214553,1.618954,1.015428,1.241579,-4.65625
73.57975474214554,1.599442,1.012274,1.249892,-4.65625
73.58675474214554,1.581381,1.011844,1.253279,-4.65625
73.59375474214553,1.553538,1.001613,1.249552,-4.65625
73.60075474214554,1.625619,1.005394,1.255214,-4.65625
73.60775474214554,1.578318,1.001094,1.267523,-4.65625
73.61475474214554,1.562837,1.002796,1.264405,-4.65625
73.62175474214554,1.557569,1.009407,1.259138,-4.65625
73.62875474214553,1.602345,1.02392,1.263026,-4.65625
73.63575474214554,1.605193,1.024117,1.260213,-4.65625
73.64275474214554,1.551979,1.014675,1.249857,-4.65625
73.64975474214553,1.543863,1.029152,1.246345,-4.632812
73.65675474214554,1.599388,1.013116,1.255142,-4.632812
73.66375474214554,1.573372,1.024046,1.243819,-4.632812
73.67075474214553,1.552839,1.021699,1.246793,-4.632812
73.67775474214554,1.53408,1.01308,1.253566,-4.632812
73.68475474214554,1.581274,1.011432,1.239966,-4.632812
73.69175474214553,1.618954,1.015965,1.232961,-4.632812
73.69875474214554,1.548915,1.013349,1.232459,-4.632812
73.70575474214554,1.523491,1.007311,1.242654,-4.632812
73.71275474214553,1.549345,1.01093,1.243102,-4.632812
73.71975474214554,1.562891,1.017363,1.240271,-4.632812
73.72675474214554,1.563052,1.000951,1.239411,-4.632812
73.73375474214554,1.532306,0.995898,1.24011,-4.515625
73.74075474214554,1.572405,0.997349,1.238228,-4.515625
73.74775474214553,1.572136,1.012059,1.236347,-4.515625
73.75475474214554,1.543271,1.001452,1.242296,-4.515625
73.76175474214554,1.552463,1.004749,1.236902,-4.515625
73.76875474214553,1.602345,0.998585,1.243693,-4.515625
73.77575474214554,1.596916,1.010626,1.243424,-4.515625
73.78275474214554,1.559236,0.998514,1.235595,-4.515625
73.78975474214553,1.55214,1.002581,1.238981,-4.515625
73.79675474214554,1.587133,1.005627,1.240396,-4.515625
73.80375474214554,1.602183,1.005537,1.231438,-4.515625
73.81075474214553,1.559075,1.011665,1.241077,-4.515625
73.81775474214554,1.552947,1.007383,1.244517,-4.539062
73.82475474214554,1.586219,1.010805,1.248101,-4.539062
73.83175474214553,1.604656,1.007275,1.245539,-4.539062
73.83875474214554,1.569287,1.004426,1.242206,-4.539062
73.84575474214554,1.57047,0.99665,1.246865,-4.539062
73.85275474214554,1.583048,0.998406,1.238067,-4.539062
73.86057074213028,1.585413,1.000019,1.242421,-4.539062
73.86775474214554,1.559343,1.005896,1.240163,-4.539062
73.87475474214554,1.566008,1.001488,1.240074,-4.539062
73.88176274204254,1.581865,1.003029,1.232011,-4.539062
73.88875474214554,1.579124,0.99941,1.234376,-4.539062
73.89575474214554,1.572889,1.001954,1.233355,-4.539062
73.90275474214553,1.531715,1.002993,1.244034,-4.539062
73.90975474214554,1.579393,1.004964,1.240181,-4.539062
73.91675474214554,1.593959,1.001273,1.234914,-4.539062
73.92375474214553,1.572244,1.000789,1.235523,-4.539062
73.93075474214554,1.563697,1.002903,1.242367,-4.539062
73.93775474214554,1.573964,1.005949,1.251039,-4.539062
73.94475474214553,1.583908,1.003602,1.257597,-4.578125
73.95175474214554,1.560741,0.998962,1.259657,-4.578125
73.95875474214554,1.56789,1.003566,1.246972,-4.578125
73.96575474214553,1.544884,0.995952,1.253745,-4.578125
73.97275474214554,1.591272,0.996328,1.254103,-4.578125
73.97975474214554,1.545207,0.994626,1.253727,-4.578125
73.98675474214554,1.523007,0.996471,1.248925,-4.578125
73.99375474214554,1.5444,0.997045,1.253763,-4.578125
74.00075474214553,1.59111,1.00534,1.24656,-4.578125
74.00775474214554,1.567245,1.007616,1.240289,-4.578125
74.01475474214554,1.558806,0.999213,1.254874,-4.578125
74.02175474214553,1.583585,1.000718,1.258296,-4.578125
74.02875474214554,1.584714,1.005484,1.263259,-4.570312
74.03575474214554,1.581973,1.003208,1.262865,-4.570312
74.04275474214553,1.562998,1.009228,1.268078,-4.570312
74.04975474214554,1.589767,1.010393,1.263492,-4.570312
74.05675474214554,1.628307,1.007831,1.254103,-4.570312
74.06375474214553,1.585628,1.009354,1.251362,-4.570312
74.07075474214554,1.541659,1.012633,1.24045,-4.570312
74.07775474214554,1.566976,1.013923,1.243693,-4.570312
74.08475474214553,1.599496,1.004767,1.248441,-4.570312
74.09175474214554,1.566707,1.010357,1.256092,-4.570312
74.09875474214554,1.582994,0.99708,1.242851,-4.570312
74.10575474214554,1.556924,1.004767,1.247169,-4.570312
74.11275474214554,1.608741,1.005125,1.257579,-4.539062
74.11975474214555,1.587617,1.008924,1.258708,-4.539062
74.12676274204254,1.568427,1.008816,1.253494,-4.539062
74.13376174211503,1.589552,1.012113,1.254515,-4.539062
74.14075474214553,1.625297,1.0093,1.258421,-4.539062
74.14775474214554,1.568857,1.009067,1.255698,-4.539062
74.15475474214554,1.554129,1.008082,1.252616,-4.539062
74.16175474214553,1.552678,1.006487,1.263295,-4.539062
74.16875474214554,1.604656,1.000771,1.258762,-4.539062
