Time(s),P_Fuel_Tank(bar),P_Chamber(bar),P_Fuel_Injector(bar),P_Ox_Injector(bar),Fuel_Flow_Rate(L/s),Ox_Valve_Angle(deg),Fuel_Valve_Angle(deg),P_Angle(deg),I_Angle(deg),P_Ox_Tank(bar),P_N2_Tank(bar),Ox_Mass(kg),Thrust(N)
-0.521319921875147,49.094105,1.04103,1.109085,1.062121,0.052188,0.0,0.0,0.0,0.0,48.304996,187.374847,6.084929765545362,25.171261
-0.5154397949218037,49.039982,1.025969,1.045891,1.097985,0.052188,0.0,0.0,0.0,0.0,48.25016,187.203079,5.965198776758409,24.039968
-0.5094849609372432,49.110542,1.050542,1.061284,1.100132,0.07295,0.0,0.0,0.0,0.0,48.28442,187.458969,6.072100611620795,23.615734
-0.5034869140622504,49.125889,1.053264,1.014896,1.121546,0.07295,0.0,0.0,0.0,0.0,48.26004,187.43219,6.067824668705403,24.605616
-0.49820883789061554,49.168964,1.018587,1.108963,1.089329,0.082498,0.0,0.0,0.0,0.0,48.206512,187.430908,6.067824668705403,21.258875
-0.49279501953105864,49.156136,1.023613,1.118247,1.116799,0.082498,0.0,0.0,0.0,0.0,48.175953,187.44072,6.067824668705403,18.572054
-0.4874229492188533,49.094269,1.013962,1.065996,1.122558,0.082498,0.0,0.0,0.0,0.0,48.162254,187.470703,6.049294801223241,24.087105
-0.4814859375001106,49.099342,1.08501,1.084879,1.128492,0.082498,0.0,0.0,0.0,0.0,48.311836,187.446167,6.0464437308868515,19.65621
-0.47631699218754875,49.158405,1.050559,1.070341,1.077793,0.082498,0.0,0.0,0.0,0.0,48.264439,187.690155,6.049294801223241,22.295893
-0.47048593750014334,48.878517,0.866282,0.917146,0.963621,0.082498,0.0,0.0,0.0,0.0,46.956295,185.683334,3.5577601427115177,20.976051
-0.46448715820315556,49.045414,0.860698,1.097741,1.320448,0.262482,0.0,0.0,0.0,0.0,47.612915,189.214005,5.966623649337411,21.306011
-0.4576131347653245,49.324802,1.02494,0.975437,1.019922,0.262482,0.0,0.0,0.0,0.0,47.819424,186.650482,5.3380392456676855,20.976051
-0.4514881347654409,48.874645,1.039582,1.022104,1.089137,0.41344,0.0,0.0,0.0,0.0,48.365746,186.351425,5.862572986748217,20.64609
-0.4454270996093328,49.241608,1.019023,1.016816,1.08549,0.41344,0.0,0.0,0.0,0.0,48.391052,188.206543,6.027915392456676,21.306011
-0.4395010742186969,49.082684,1.092985,1.060935,1.064774,0.486196,0.0,0.0,0.0,0.0,48.42334,187.429306,6.054997043832823,20.881777
-0.43429624023428914,49.113705,1.032182,1.0224,1.070743,0.486196,0.0,0.0,0.0,0.0,48.270561,187.520203,6.020788379204892,18.477779
-0.4284842285155719,49.093079,1.032706,1.0187,1.071144,0.486196,0.0,0.0,0.0,0.0,48.245884,187.505478,6.037891946992864,20.881777
-0.4225013183590818,49.095043,0.929249,1.081319,1.088823,0.486196,0.0,0.0,0.0,0.0,48.098328,187.503082,5.379374821610602,20.881777
-0.41748618164047,49.055176,1.042479,1.098701,1.133727,0.671326,0.0,0.0,0.0,0.0,48.232029,188.087952,6.003683282364933,18.383505
-0.4116622070309859,49.383625,1.066859,1.010009,1.057392,0.671326,0.0,0.0,0.0,0.0,48.341751,187.541763,6.144795208970438,18.477779
-0.40650131835946013,49.075531,1.047104,1.013988,1.135699,0.619138,0.0,0.0,0.0,0.0,48.283615,187.376663,6.072100611620795,19.561935
-0.40148422851552823,49.063969,1.074312,1.036362,1.114094,0.619138,0.0,0.0,0.0,0.0,48.360809,187.473801,6.050721100917431,19.043427
-0.39548544921854045,49.098392,1.05836,0.995227,1.091057,0.598376,0.0,0.0,0.0,0.0,48.314857,187.494385,6.0649735983690105,19.750484
-0.3901382812500742,49.114414,1.017662,1.02343,1.103361,0.598376,0.0,0.0,0.0,0.0,48.24744,187.427979,6.033616106014271,18.854877
-0.38448642578123327,49.078159,1.033159,1.019468,1.090551,0.588828,0.0,0.0,0.0,0.0,48.277176,187.348602,6.060697655453619,19.514797
-0.3784854492187151,49.082806,1.038343,1.001964,1.079748,0.588828,0.0,0.0,0.0,0.0,48.281765,187.501968,6.0564218144750255,21.070326
-0.3734534667969456,49.115246,1.02946,1.003011,1.102244,0.588828,0.0,0.0,0.0,0.0,48.287022,187.555466,6.099182161060142,18.194956
-0.3681314453124287,49.100605,1.030559,0.987461,1.090376,0.588828,0.0,0.0,0.0,0.0,48.290791,187.468628,6.1105850152905195,17.864996
